num,category,method_name,description,output_pattern,when_to_use
1,inversion,Pre-mortem,Assume the project failed catastrophically. Working backward — what went wrong? Surfaces risks before they happen.,failure scenario → root causes → preventive actions,At end of plan/architect phase before commit
2,inversion,Inversion,Instead of "how do we succeed?" ask "how could we fail?" Then avoid those paths.,failure modes → inverted strategy → safer plan,When a plan feels too optimistic
3,inversion,Five Whys,Drill from symptom to root cause by asking "why?" five times. Each answer becomes the next "why".,symptom → causes (5 levels deep) → root cause,Debugging or RCA on a decision
4,collaboration,Stakeholder Round Table,Convene multiple personas (PM, engineer, security, support) to share their view on the plan. Surfaces competing concerns.,perspectives → conflicts → synthesis → alignment,Multi-stakeholder features
5,collaboration,Cross-Functional War Room,Product manager + engineer + designer tackle a problem together. Reveals trade-offs between feasibility, desirability, viability.,constraints → trade-offs → balanced solution,New product surface or major feature
6,collaboration,Mentor and Apprentice,Senior expert teaches a junior. The junior asks naive "why?" questions that surface hidden assumptions.,explanation → naive questions → exposed assumptions,Plans where senior-only reasoning may hide gaps
7,collaboration,Good Cop Bad Cop,Two personas — one supportive one critical — alternate on the same artifact. Finds strengths AND weaknesses without bias.,encouragement → criticism → balanced view,Decisions that feel either too easy or too risky
8,competitive,Red Team vs Blue Team,Attackers vs defenders. Attackers find vulnerabilities; defenders patch them. Adversarial hardening.,defense → attack → hardening → re-attack,Security-critical features and architecture
9,competitive,Shark Tank Pitch,Pitch the proposal to skeptical investors who poke holes. Stress-tests business viability and forces clarity on value.,pitch → challenges → refinement,Major product decisions or new initiatives
10,competitive,Code Review Gauntlet,Senior devs with different philosophies (FP zealot, OOP traditionalist, simplicity-first) review the same code. Surfaces style debates.,reviews from each → debates → consensus,Architecture decisions where style matters
11,advanced,Tree of Thoughts,Explore multiple reasoning paths simultaneously then evaluate and select the best. Best for problems with multiple valid approaches.,paths → evaluation → selection,Architecture decisions with multiple viable approaches
12,advanced,Self-Consistency Validation,Generate multiple independent approaches then compare for consistency. Crucial for high-stakes decisions where verification matters.,approaches → comparison → consensus,High-stakes one-way-door decisions
13,advanced,Meta-Prompting Analysis,Step back and analyze the approach itself. Are we asking the right question?,current approach → structural critique → optimization,When stuck or making little progress
14,temporal,Time Traveler Council,Past-you and future-you advise present-you on this decision. Surfaces long-term consequences vs short-term pressures.,past wisdom → present choice → future impact,Decisions where short-term ease and long-term cost diverge
15,narrative,Customer Support Theater,Angry customer and support rep roleplay to find the pain. Reveals real user frustrations and service gaps.,complaint → investigation → resolution → prevention,User-facing features where UX matters
16,analytical,Stakeholder Pain Map,For each stakeholder, list their top pain. Trace which proposal elements address which pain. Gaps and overlaps surface immediately.,stakeholders → pain points → coverage matrix → gaps,Plans serving multiple stakeholder types
17,analytical,Constraint Relaxation,For each constraint in the plan, ask "what if this didn't exist?" Reveals load-bearing assumptions.,constraints → relaxed-world impact → re-evaluation,When the plan feels over-constrained or weirdly shaped
18,analytical,Cost of Delay,For each option, compute the cost of delaying its implementation by 1 quarter / 1 year. Forces honest prioritization.,options → cost of delay each → priority order,Roadmap or prioritization decisions
